,0
0,lipton recipe secrets soup and dip mix onion 2 oz 2 count
1,"doritos nacho cheese flavored tortilla chips, party size, 15 oz"
2," equate 70% isopropyl alcohol, 32 oz"
3,purina dog chow complete with real chicken adult dry dog food (various sizes)
4,"assurance premium xl disposable washcloths, 144 ct"
5,basic blue walmart gift card
6,luvs triple leakguards extra absorbent diapers size 4 88 ct
7,"purina tidy cats clumping cat litter, 24/7 performance multi cat litter (various sizes)"
8," equate clear hand soap refill, 56 oz"
9,parent's choice fragrance free baby wipes (choose your count)
10,"great value ultra strong toilet paper, 12 mega rolls"
11,"cottonelle ultra cleancare strong toilet paper, 12 mega rolls, bath tissue"
12,"lay's classic potato chips, party size, 13 oz bag"
13,"equate omeprazole delayed release tablets 20 mg, treats frequent heartburn, 42 count"
14,"ruffles original potato chips, party size, 13.5 oz bag"
15,"revlon colorsilk beautiful color, permanent hair dye"
16,"charmin ultra strong toilet paper, 12 mega rolls, 3432 sheets"
17,"kraft original flavor mac and cheese, 5 ct - 7.25 oz multipack"
18,"equate flushable wipes, fresh scent, 5 packs of 48 wipes, 240 wipes total"
19,"quilted northern ultra soft & strong toilet paper, 12 mega rolls (= 48 regular rolls)"
20,"great value non-stick parchment, paper, 50 sq ft"
21,"fritos scoops! corn snacks, party size, 15.5 oz bag"
22,"frito-lay classic mix variety pack, 18 count"
23,"premier protein shake, chocolate, 30g protein, 11 fl oz, 4 ct"
24,"dr teal's pure epsom salt therapeutic soak, 6 lbs."
25,"cascade platinum actionpacs dishwasher detergent, fresh, 62 ct"
26,"plackers micro mint dental floss picks, 150 count"
27,arm & hammer clean burst liquid laundry detergent
28,high-quality 4 x 6 prints
29,"scott 1000 sheets per roll, 20 rolls, bath tissue"
30,basic blue walmart egift card
31,"lipton diet green tea citrus iced tea, 16.9 fl oz (24 bottles)"
32,"ruffles original potato chips, 9 oz."
33,"equate moisturizing hand sanitizer with vitamin e, 34 fl oz - may ship with a flip top cap"
34,"colgate cavity protection toothpaste with fluoride, great regular flavor, 6 oz, 3 ct"
35,"hefty ultra strong tall kitchen trash bags, 13 gallon, 40 bags (lavender & sweet vanilla scent)"
36,"cinnamon toast crunch, cereal with whole grain, 19.3 oz"
37,"great value tall kitchen trash bags, 13 gallon, 40 bags"
