,0
0,"Wegmans Yellow Mustard, Smooth & Tangy
20 ounce
14B"
1,"Wegmans Solid White Albacore Tuna in Water, 8 Pack, FAMILY PACK
48 ounce
16B"
2,"Wegmans Semi-Sweet Chocolate Morsels
12 ounce
12B"
3,"Wegmans Italian Classics Olive Oil, Extra Virgin, 100% Italian
33.8 fl. oz.
12B"
4,"Wegmans Canola Oil Cooking Spray
5 ounce
12B"
5,"Wegmans Elbows
16 ounce
16B"
6,"Wegmans Italian Classics Basil Pesto Sauce
6.7 ounce
16B"
7,"Wegmans Yellow Corn Tortilla Chips
16 ounce
13A"
8,"Cheerios Cereal, Honey Nut
19.5 ounce
13B"
9,"Wegmans Tomato Sauce
29 ounce
16B"
10,"Wegmans Medium Ripe Olives, Pitted
6 ounce
14B"
11,"Wegmans Spaghetti
16 ounce
16B"
12,"Triscuit Crackers, Original
8.5 ounce
12A"
13,"Cheerios Cereal, Gluten Free, Whole Grain Oat, Toasted, Large Size
12 ounce
13B"
14,"Domino Sugar, Premium Pure Cane, Granulated
4 lb.
12B"
15,"Wegmans Cereal, Frosted Bite-Size Shredded Wheat
18 ounce
13B"
16,"Oreo Sandwich Cookies, Chocolate, Double Stuf, Family Size
20 ounce
12A"
17,"Wegmans Canola Oil
48 fl. oz.
12B"
18,"Tostino's Tortilla Chips, Hint of Lime
13 ounce
13A"
19,"Wegmans Traditional Italian Dressing
16 fl. oz.
14B"
20,"Wegmans Organic Garbanzo Beans
15 ounce
15B"
21,"Barilla Penne
1 lb.
16B"
22,"Wegmans Steam Peeled Diced Tomatoes
28 ounce
16B"
23,"Wheat Thins Snacks, Original
9.1 ounce
12A"
24,"Skinny Pop Popcorn
10 ounce
4B"
25,"Heinz Tomato Ketchup
38 ounce
14B"
26,"Sweet Baby Ray's Barbecue Sauce
18 ounce
14B"
27,"Nissin Top Ramen Soup, Ramen Noodle, Chicken Flavor
18 ounce
16B"
28,"Wegmans Tomato Ketchup
20 ounce
14B"
29,"Wegmans Shells Pasta
16 ounce
16B"
30,"Lay's Potato Chips, Classic
13 ounce
13A"
31,"Wegmans Pizza Sauce Smooth
14 ounce
16B"
32,"Wegmans Original Potato Chips
11 ounce
13A"
33,"Wegmans Get Dippin' Multigrain Tortilla Chips, FAMILY PACK
20 ounce
13A"
34,"Tostitos Tortilla Chips, Original, Restaurant Style
13 ounce
13A"
35,"Wegmans Zesty Italian Twice-Baked Croutons
5 ounce
14B"
36,"Wegmans Sweet Relish
8 fl. oz.
14B"
37,"Wegmans Tomato Sauce
15 ounce
16B"
38,"Wegmans Oats, Old Fashioned
42 ounce
13B"
39,"Wegmans Rotini
16 ounce
16B"
40,"Wegmans Fettuccine Pasta
16 ounce
16B"
41,"Campbell's Condensed Cream of Chicken Soup
10.5 ounce
14B"
42,"Lay's Wavy Potato Chips, Original
13 ounce
13A"
43,"Wegmans Olive Oil, Extra Virgin, 100% Mediterranean Blend
33.8 fl. oz.
12B"
44,"Smartfood Popcorn, White Cheddar, Party Size
9.75 ounce
13A"
45,"Wegmans Honey, Clover
16 ounce
14B"
46,"Wegmans Light Red Kidney Beans
15.5 ounce
15B"
47,"Wegmans Syrup, Maple, Pure
12.5 fl. oz.
12B"
48,"Wegmans Get Dippin' Blue Corn Tortilla Chips, FAMILY PACK
20 ounce
13A"
49,"Wegmans Premium Chunk Chicken Breast in Water
12.5 ounce
16B"
50,"Frank's Red Hot Sauce, Cayenne Pepper, Original
12 fl. oz.
14B"
51,"Wegmans Natural Applesauce, No Sugar Added
24 ounce
14B"
52,"Campbells Condensed Soup, Cream of Mushroom, Condensed
10.5 ounce
14B"
53,"Wegmans Pinto Beans
15.5 ounce
15B"
54,"Wegmans Hamburger Dill Slices
16 fl. oz.
14B"
55,"Wegmans Beef Culinary Stock
32 fl. oz.
14B"
56,"Cape Cod Potato Chips, Kettle Cooked, Original, Party Size
14 ounce
13A"
57,"Wegmans Organic Peanut Butter, Creamy
16 ounce
14B"
58,"Oreo Sandwich Cookies, Chocolate
14.3 ounce
12A"
59,"Wegmans Garlic Twice-Baked Croutons
5 ounce
14B"
60,"Wegmans Salted Roasted Whole Cashews, FAMILY PACK
34 ounce
2B"
61,"Kraft Macaroni & Cheese Dinner, Original Flavor
7.25 ounce
16B"
62,"Twizzlers Candy, Strawberry
16 ounce
13B"
63,"Wegmans Traditional Dijon Mustard
10.1 ounce
14B"
64,"Wegmans Just Peanuts Creamy Natural Peanut Butter
16 ounce
14B"
65,"Rao's Homemade Marinara Sauce
24 ounce
16B"
66,"Lay's Wavy Potato Chips, Original
7.75 ounce
13A"
67,"Campbell's Condensed Tomato Soup, Condensed
10.75 ounce
14B"
68,"Cheerios Cereal, Whole Grain Oat, Gluten Free, Toasted, Family Size
18 ounce
13B"
69,"Pringles Salty Snacks Potato Crisps Chips, Original Flavored
5.2 ounce
13A"
70,"Wegmans Bread Crumbs, White, Panko
10 ounce
16B"
71,"Wegmans Dark Brown Sugar
32 ounce
12B"
72,"Wegmans Kosher Dill
16 fl. oz.
14B"
73,"Barilla Rotini
1 lb.
16B"
74,"Wegmans Thin Spaghetti
16 ounce
16B"
75,"Wegmans Spicy Brown Mustard
12 ounce
14B"
76,"Ritz Crackers, The Original, Fresh Stacks
11.8 ounce
12A"
77,"Wegmans Dill Relish
8 fl. oz.
14B"
78,"Cinnamon Toast Crunch Cereal
12 ounce
13B"
79,"Wegmans 100% Mediterranean Blend Olive Oil, Pure
33.8 fl. oz.
12B"
80,"Wegmans Ziti Pasta
16 ounce
16B"
81,"Wegmans Organic Basting Oil
16 fl. oz.
12B"
82,"Snyder's Of Hanover Pretzels, Mini, Family Size
16 ounce
13A"
83,"Wegmans Peanut Butter, Crunchy
18 ounce
14B"
84,"Tostitos Salsa Dip, Con Queso
15 ounce
13A"
85,"Wegmans Crackers, Saltines, Original
16 ounce
12A"
86,"Santitas Tortilla Chips
11 ounce
13A"
87,"Wegmans Organic White Jasmine Rice
32 ounce
16B"
88,"Wegmans Lemon & Garlic Marinade
16 fl. oz.
14B"
89,"Wegmans Chunk Light Yellowfin Tuna in Water
6 ounce
16B"
90,"Fritos Corn Chips, The Original
9.25 ounce
13A"
91,"Wegmans Dark Red Kidney Beans, No Salt Added
15.5 ounce
15B"
92,"Bush's Best Baked Beans, 99% Fat Free, Original
28 ounce
16B"
93,"Wegmans 100% Mediterranean Blend Olive Oil, Pure
16.9 fl. oz.
12B"
94,"Wegmans Baking Powder
8.1 ounce
12B"
95,"Wegmans Italian Classics Olive Oil, Extra Virgin, 100% Italian
16.9 fl. oz.
12B"
96,"Wegmans Lightly Salted Dry Roasted Peanuts
16 ounce
2B"
97,"SPECIAL K Cereal Breakfast Cereal, Red Berries, With Real Strawberries
11.7 ounce
13B"
98,"Triscuit Crackers, Original, Family Size
12.5 ounce
12A"
99,"Wegmans Pasta, Egg Noodles, Wide
12 ounce
16B"
100,"Doritos Tortilla Chips, Cool Ranch, Party Size!
15 ounce
13A"
101,"Lipton Recipe Secrets Recipe Soup & Dip Mix, Onion
2 ounce
14B"
