,0
0,"Wegmans Organic Garlic Cilantro Salsa
15.5 ounce
15B"
1,"Goya Yellow Rice, Spanish Style
7 ounce
15B"
2,"Wegmans Hot Salsa
16 ounce
15B"
3,"VEROLE Tortillas, Flour, Family Pack
18 ounce
15B"
4,"Wegmans Organic Taco Seasoning Mix
1 ounce
15B"
5,"Wegmans Organic Tahini
16 ounce
15B"
6,"Goya Black Beans
16 ounce
15B"
7,"Coconut Secret Seasoning Sauce, Soy-Free, Coconut Aminos
8 fl. oz.
1B"
8,"Wegmans Organic Salsa, Hot
15.5 ounce
15B"
9,"Ortega Fajita Seasoning Mix
1.25 ounce
15B"
10,"Ortega Refried Beans, Traditional
16 ounce
15B"
11,"Wegmans Organic General Tso's Sauce
14.5 ounce
1B"
12,"Thai Kitchen Gluten Free Red Curry Paste
4 ounce
1B"
13,"Wegmans Organic Coconut Cream
5.4 fl. oz.
1B"
14,"Goya Red Lentils
16 ounce
15B"
15,"Dynasty Jasmine Rice
5 lb.
1B"
16,"Polar Water Chestnut, Sliced
8 ounce
1B"
17,"Old El Paso Refried Beans, Vegetarian
16 ounce
15B"
18,"Wegmans Hoisin Sauce
9.4 ounce
1B"
19,"Wegmans Rice Vinegar
12.7 fl. oz.
1B"
20,"Wegmans Organic Sriracha Mayo
18 ounce
1B"
21,"SRIRACHA Chili Sauce, Hot
28 ounce
1B"
22,"GOYA Green Split Peas
16 ounce
15B"
23,"Kadoya Pure Sesame Oil
5.5 fl. oz.
1B"
24,"Herdez Salsa Verde, Mild
16 ounce
15B"
25,"Wegmans Seaweed Snack, Roasted and Sea Salted, FAMILY PACK
2.04 ounce
1B"
26,"Wegmans Sauce, Thai Peanut
13 ounce
1B"
27,"Wegmans Organic Ramen Wheat Noodles
9.5 ounce
1B"
28,"Wegmans Salsa, Roasted Chipotle
16 ounce
15B"
29,"Wegmans Organic Brown Rice Noodles
7.7 ounce
1B"
30,"Old El Paso Taco Dinner Kit, Crunchy
8.8 ounce
15B"
31,"Pace Medium Picante Sauce
16 ounce
15B"
32,"Dynasty Rice, Jasmine
32 ounce
1B"
33,"Goya Coconut Milk
13.5 fl. oz.
15B"
34,"VEROLE Flour Tortillas, Soft Taco
12.7 ounce
15B"
35,"Wegmans Organic White Rice Noodles
7.7 ounce
1B"
36,"Evergreen Coconut Milk
13.5 fl. oz.
1B"
37,"Kikkoman Soy Sauce
20 fl. oz.
1B"
38,"Wegmans Black Pepper Sauce
13 ounce
1B"
39,"Wegmans Organic Sweet & Sour Sauce
14.5 ounce
1B"
40,"Huy Fong Chili Garlic Sauce
8 ounce
1B"
41,"Ortega Diced Jalapenos, Hot
4 ounce
15B"
42,"Goya Cannellini, Premium
15.5 ounce
15B"
43,"GOYA Red Kidney Beans, Prime Premium
15.5 ounce
15B"
44,"JFC Sesame Seed, White, Premium Roasted
3.5 ounce
1B"
45,"Wegmans Medium Salsa, FAMILY PACK
68 ounce
15B"
46,"Ortega Taco Kit, Soft
15.2 ounce
15B"
47,"Wegmans Korean BBQ Sauce
13.5 ounce
1B"
48,"Thai Kitchen Rice Noodles, Stir-Fry
14 ounce
1B"
49,"Ortega Taco Sauce, Original, Hot
8 ounce
15B"
50,"GOYA Mexican Rice, Chicken Flavor
7 ounce
15B"
51,"La Banderita Tortillas, Flour, Fajita, Whole Wheat
16 ounce
15B"
52,"Mission Flour Tortillas, Street Tacos
11 ounce
15B"
53,"Thai Kitchen Coconut Milk, Organic, Unsweetened
13.66 fl. oz.
1B"
54,"Ortega Fiesta Flats Taco Shells, Flat Bottom
5.6 ounce
15B"
55,"Wegmans Kung Pao Sauce
13 ounce
1B"
56,"Goya White Beans, Small, Premium
15.5 ounce
15B"
57,"Goya Yellow Rice, Spanish Style, Family Size
14 ounce
15B"
58,"Goya Chick Peas
16 ounce
15B"
59,"Goya Rice, Jasmine, Thai
32 ounce
15B"
60,"Thai Kitchen Fish Sauce, Premium
6.76 fl. oz.
1B"
61,"DALMATIA Fig Spread, Original
8.5 ounce
15B"
62,"CAFE BUSTELO Coffee, Espresso
10 ounce
15B"
63,"Marukan Vinegar, Rice, Genuine Brewed
12 fl. oz.
1B"
64,"Ortega Refried Beans, Fat Free
16 ounce
15B"
65,"Wegmans Organic Udon Wheat Noodles
9.5 ounce
1B"
66,"Old El Paso Tortillas, Flour, Soft, Tortilla Bowl
6.7 ounce
15B"
67,"Chaokoh Coconut Milk
13.5 fl. oz.
1B"
68,"GOYA Pinto Beans
16 ounce
15B"
69,"Goya Peppers, Chipotle
7 ounce
15B"
70,"Wegmans Organic Soba Buckwheat Noodles
9.5 ounce
1B"
71,"Wel-Pac Egg Noodles, Lo Mein
10 ounce
1B"
72,"Glico Pocky Biscuit Sticks, Chocolate
1.41 ounce
1B"
73,"Wegmans Green Enchilada Sauce
16 ounce
15B"
74,"Kikkoman Soy Sauce, Gluten-Free
10 fl. oz.
1B"
75,"Wegmans Organic Spicy Orange Sauce
14.5 ounce
1B"
76,"Kikkoman Bread Crumbs, Panko, Japanese Style
8 ounce
1B"
77,"Mee Tu Duck Sauce, Sweet and Pungent
10 ounce
1B"
78,"Pace Salsa, Chunky, Mild
16 ounce
15B"
79,"Lee Kum Kee Minced Ginger
7.5 ounce
1B"
80,"Wegmans Red Enchilada Sauce
16 ounce
15B"
81,"Goya Lentils, Pardina
16 ounce
15B"
82,"Vigo Yellow Rice, Saffron
5 ounce
15B"
83,"Old El Paso Enchilada Sauce, Mild Green Chile
10 ounce
15B"
84,"Polar Water Chestnut, Diced
8 ounce
1B"
85,"Pace Mild Picante Sauce
16 ounce
15B"
86,"Vigo Yellow Rice, Saffron, Family Size
16 ounce
15B"
87,"Wegmans Roasted Tomato Salsa
16 ounce
15B"
88,"Huy Fong Chili Paste, Ground Fresh, Sambal Oelek
8 ounce
1B"
89,"La Choy Noodles, Chow Mein
5 ounce
1B"
90,"Wegmans Salsa, Roasted Sweet Pepper
16 ounce
15B"
91,"Ortega Good Grains Taco Shells, Yellow Corn
4.9 ounce
15B"
92,"Hatch Green Chiles, Hot, Dice
4 ounce
15B"
93,"Wegmans Fire Dragon Marinade
12 fl. oz.
1B"
94,"Goya Kidney Beans, Dark, Premium
15.5 ounce
15B"
95,"Wegmans Seaweed Snack, Wasabi Roasted and Sea Salted
0.51 ounce
1B"
96,"Ole Corn Tostadas
12.4 ounce
15B"
97,"Wegmans Organic Green Sriracha
18 ounce
1B"
98,"Mighty Sesame Tahini, Organic
10.9 ounce
15B"
99,"Kikkoman Soy Sauce, Less Sodium
5 fl. oz.
1B"
100,"GOYA Prime Premium Pinto Beans
15.5 ounce
15B"
101,"Goya Red Kidney Beans
16 ounce
15B"
102,"GOYA Small Red Beans, Prime Premium
15.5 ounce
15B"
103,"Newman's Own Salsa, Chunky, Medium
16 ounce
15B"
104,"La Banderita Tortillas, Flour, Fajita Size, Twin Pack
45 ounce
15B"
105,"Viet Way Noodle, Rice, M
14 ounce
1B"
106,"Nishiki Rice, Premium Grade, Medium Grain
32 ounce
1B"
107,"Maesri Curry Paste, Red
4 ounce
1B"
108,"Kikkoman Soy Sauce, Less Sodium
2 quart
1B"
109,"Bragg Liquid Aminos
16 fl. oz.
1B"
110,"Goya Navy Beans
16 ounce
15B"
111,"Coca-Cola Soft Drink
12 fl. oz.
15B"
112,"Wegmans Organic Red Sriracha
18 ounce
1B"
113,"Goya Beans, Great Northern
16 ounce
15B"
114,"MAC'S Pork Skins, Fried, Original
5 ounce
15B"
115,"Goya Jasmine Rice, Thai
5 lb.
15B"
116,"Mission Carb Balance Tortilla Wraps, Super Soft, Soft Taco
12 ounce
15B"
117,"Heinz Beans, with Tomato Sauce
13.7 ounce
15B"
118,"Ortega Seasoning Mix, Guacamole
1 ounce
15B"
119,"Newman's Own Salsa, Chunky, Mild
16 ounce
15B"
120,"Goya Salsa Verde, Medium
17.6 ounce
15B"
121,"Kikkoman Hoisin Sauce
9.4 ounce
1B"
122,"GOYA Yellow Rice, Low Sodium, Arroz Amarillo
7 ounce
15B"
123,"HIKARI MISO Miso, Organic, White
17.6 ounce
14B"
124,"Laoganma Spicy Chili Crisp
7.41 ounce
1B"
125,"Canilla Rice, Enriched, Extra Long Grain
48 ounce
15B"
126,"Mae Ploy Chili Sauce, Sweet
12 ounce
1B"
127,"Hapi Wasabi Peas, Hot
9.9 ounce
1B"
128,"Old El Paso Jalapeno Slices, Pickled
12 ounce
15B"
129,"Wegmans Seaweed Snack, Roasted and Sea Salted
0.51 ounce
1B"
130,"McVitie's Digestive Biscuits, Wheat, The Original
14.1 ounce
15B"
131,"Ortega Taco Seasoning Mix, Chipotle
1.25 ounce
15B"
132,"Goya Pinto Beans, Refried, Traditional
16 ounce
15B"
133,"Kikkoman Marinade & Sauce, Teriyaki
10 fl. oz.
1B"
134,"Goya Maria Cookies
7 ounce
15B"
135,"Goya Nectar, Mango
33.8 fl. oz.
15B"
136,"Goya Soup, Black Bean
15 ounce
15B"
137,"Kikkoman Soy Sauce, Traditionally Brewed
5 fl. oz.
1B"
138,"Sazon Goya Seasoning, Coriander & Annatto
1.41 ounce
15B"
139,"GOYA Barley
16 ounce
15B"
140,"Hero Fruit Spread, Premium Blueberry
12 ounce
15B"
141,"Hero Fruit Spread, Premium, Red Raspberry
12 ounce
15B"
142,"Hero Fruit Spread, Premium, Strawberry
12 ounce
15B"
143,"Rhee Chun Rice, Extra Fancy
5 lb.
1B"
144,"Hero Fruit Spread, Premium, Black Cherry
12 ounce
15B"
145,"Hero Fruit Spread, Premium, Black Currant
12 ounce
15B"
146,"Tasty Bite Punjab Eggplant, Indian, Medium
10 ounce
15B"
147,"Lyle's Golden Syrup Cane Sugar Syrup, Original
11 fl. oz.
15B"
148,"Tiger Tiger Noodles in No Time Satay
10.5 ounce
1B"
149,"Mestemacher Bread, Organic, Whole Rye
17.6 ounce
15B"
150,"Iron Chef Sauce & Glaze, General Tso's
15 ounce
1B"
151,"Mestemacher Bread, Organic Three Grain
17.6 ounce
15B"
152,"Knorr Pommes Sauce
14.5 fl. oz.
15B"
153,"Laxmi Brand Rice, Basmati, Dehradun
4 lb.
15B"
154,"Paldo Soup, Bowl Noodle, Shrimp Flavor
3.03 ounce
1B"
155,"Goya Nectar, Guava
33.8 fl. oz.
15B"
156,"Walkers Shortbread, Pure Butter
5.3 ounce
15B"
157,"Mestemacher Bread, Natural Sunflower Seed
17.6 ounce
15B"
158,"A Taste of Thai Coconut Ginger Noodles
4 ounce
1B"
159,"Goya Nectar, Peach
33.8 fl. oz.
15B"
160,"Annie Chun's Noodle Bowl, Pad Thai, Thai-Style, Medium
8.1 ounce
14B"
161,"Paldo Soup, Bowl Noodle, Artificial Chicken Flavor
3.03 ounce
1B"
162,"Goya Nectar, Pear
33.8 fl. oz.
15B"
163,"Maaza Juice Drink, Mango
33.8 fl. oz.
15B"
164,"Mother in Law's Gochujang, Garlic
9 ounce
1B"
165,"NISHIKI Rice, Medium Grain
10 lb.
1B"
166,"Nishiki Brown Rice, Premium, Medium Grain
5 lb.
1B"
167,"Maaza Juice Drink, Guava
33.8 fl. oz.
15B"
168,"PALDO Soup, Bowl Noodle, Kimchi Flavor
3.03 ounce
1B"
169,"Laxmi Brand Coriander Powder
7 ounce
15B"
170,"Deer Masoor Dall
2 lb.
15B"
171,"Meiji Hello Panda Cookies, Chocolate, Bite Size
7 ounce
1B"
172,"Patak's Spice Paste, Tandoori Marinade, Mild
11 ounce
15B"
173,"Flamous Organic Chips, Organic, Falafel, Original
8 ounce
15B"
174,"Radenska Mineral Water, Naturally Sparkling, Classic
50.7 fl. oz.
15B"
175,"Laxmi Brand Bay Leaves
0.5 ounce
15B"
176,"MUSO Ramen, Organic, Miso
4.1 ounce
1B"
177,"MUSO Ramen, Organic, Shoyu
3.8 ounce
1B"
178,"La Costena Jalapenos, Sliced
28 ounce
15B"
179,"Marukan Rice Vinegar, Sweet and Tangy Flavor
12 fl. oz.
1B"
180,"SIMPLY ORGANIC Simmer Sauce, Classic Fajita
8 ounce
5B"
181,"Simply Organic Simmer Sauce, Red Enchilada
8 ounce
5B"
182,"Nestle Lion Chocolate Bar
1.48 ounce
15B"
183,"Saffron Road Chickpeas, Crunchy, Falafel, Mild
6 ounce
15B"
184,"Zoe Bomba
17.5 ounce
15B"
185,"Saffron Road Chickpeas, Crunchy, Bombay Spice, Hot
6 ounce
15B"
186,"Tiptree Preserve, Raspberry Seedless
12 ounce
15B"
187,"MAMA LYCHA Red Beans
64 ounce
15B"
188,"Kikkoman Soy Sauce, Double Fermented, Shoyu
6.8 fl. oz.
1B"
